Year	Age	Female	Male	Total
1974	67	0.0130453947368421	0.023812390414962	0.0226612276612277
1974	68	0.0171065134099617	0.023148893360161	0.0231073446327684
1974	69	0.0227132352941176	0.0486970278044104	0.0180931520644512
1974	70	0.0189356401384083	0.0343917197452229	0.0207106109324759
1974	71	0.0198431245965139	0.044134110787172	0.0323478260869565
1974	72	0.0173893360160966	0.0490732790525537	0.0262495849474267
1974	73	0.031115763546798	0.0472333751568381	0.0310538143110585
1974	74	0.0389991095280499	0.0432204806687565	0.0573978388998035
1974	75	0.0319	0.0620562546262028	0.0523148788927336
1974	76	0.0384786019971469	0.0749743801652892	0.0646063829787234
1974	77	0.0350253090052972	0.0590872641509434	0.0570031104199067
1974	78	0.0444208731241473	0.0896705587989992	0.0463710433763189
1974	79	0.0404802668148972	0.0620239616613419	0.044691161356629
1974	80	0.0588599419448476	0.065113719353156	0.061930764206401
1974	81	0.081141060197664	0.103795317220544	0.0592522624434389
1974	82	0.073632967032967	0.118294254658385	0.0630924415443176
1974	83	0.0742613333333333	0.0977141155449672	0.0634909819639279
1974	84	0.065965717299578	0.108467829224293	0.084104004781829
1974	85	0.0911318897637795	0.102169509594883	0.129304384485666
1974	86	0.091150059311981	0.211269461077844	0.116633103448276
1974	87	0.140801189464741	0.114444908616188	0.118346736980883
1974	88	0.139014426727411	0.174608819345661	0.143132564841499
1974	89	0.115515344528083	0.1444410430839	0.138920365535248
1974	90	0.147703630363036	0.262360254083485	0.215153915391539
1974	91	0.170996436208125	0.215508002783577	0.153225883762732
1974	92	0.133855161787365	0.168558572146807	0.154719553072626
1974	93	0.14690437845999	0.195406685236769	0.251366115702479
1974	94	0.264502843216897	0.362501941747573	0.310599629286376
1974	95	0.222188811188811	0.233320231213873	0.176195892575039
1974	96	0.338538240917782	0.324274360746372	0.230125535823637
1974	97	0.286709978463747	0.286030890369473	0.367163101604278
1974	98	0.342059016393443	0.244488493723849	0.331959438377535
1974	99	0.433330125120308	0.355099168646081	0.383774089068826
1974	100	0.386907241659886	0.384651119402985	0.302775609756098
1974	101	0.285971014492754	0.425845047039292	0.398731724627395
1974	102	0.346929082240763	0.338535425101215	0.527209821428571
1974	103	0.352235814679854	0.163110687022901	0.338216402116402
1974	104	0.441411444141689	0.727997722095672	0.582582565556343
1974	105	0.405340425531915	1.01148912228057	0.457478208232446
1974	106	0.476224815724816	0	0.418077280650784
1974	107	0.181625830258303	0	0.118425520555259
1974	108	0.672435132957293	.	0.550456464379947
1974	109	1.32791547375596	0	0.92862298682284
1974	110+	0	0	0
1975	0	0.00735533262935586	0.0141873990306947	0.0109853963838665
1975	1	0.000689728958630528	0.000610919540229885	0.00062716049382716
1975	2	0.000341184867951463	0.000365353480841878	0.000388219544846051
1975	3	0.000259369422962522	0.000315900686740623	0.000346230820547031
1975	4	0.000241265655899802	0.000243200836820084	0.000234797297297297
1975	5	0.000227953410981697	0.000294078061911171	0.000306244653550043
1975	6	0.000169072164948454	0.000311688311688312	0.000218012866333095
1975	7	0.000143595634692705	0.000198356164383562	0.00016932380428807
1975	8	0.000114467408585056	0.000248447204968944	0.000177398160315374
1975	9	0.000215794306703398	0.000256107834877843	0.000152112676056338
1975	10	9.96610169491525e-05	0.000201617921593031	0.000150442477876106
1975	11	0.000123429416112343	0.00028021978021978	0.000212822796081923
1975	12	0.000130990415335463	0.000227034120734908	0.000199424046076314
1975	13	0.000154545454545455	0.000293794186959937	0.000200732600732601
1975	14	0.000147727272727273	0.000267686424474187	0.000176111111111111
1975	15	0.00014475079533404	0.000379595588235294	0.000252747252747253
1975	16	0.000292319164802386	0.000404565630944832	0.00044311377245509
1975	17	0.000261100066269052	0.000694199243379571	0.000462622549019608
1975	18	0.000241837299391256	0.000671356218345526	0.000508338480543545
1975	19	0.000313993174061433	0.000707865168539326	0.000456404088995791
1975	20	0.000300714285714286	0.00067311072056239	0.000725939505041247
1975	21	0.000216990788126919	0.00078118609406953	0.000513285806869734
1975	22	0.000215217391304348	0.000987108655616943	0.000445514750150512
1975	23	0.000366018596787828	0.000778067885117494	0.000473049645390071
1975	24	0.000295145631067961	0.000687750200160128	0.000659340659340659
1975	25	0.000432432432432432	0.000792517006802721	0.00035981308411215
1975	26	0.000475524475524476	0.000721324717285945	0.000368474923234391
1975	27	0.000235733333333333	0.000708333333333333	0.000602901178603808
1975	28	0.000344251766217084	0.000711734693877551	0.000680514342235411
1975	29	0.000348593852190975	0.000817924528301887	0.000384446878422782
1975	30	0.000365384615384615	0.000859555555555556	0.0006832895888014
1975	31	0.000581151832460733	0.000658730158730159	0.000464437367303609
1975	32	0.000548325358851675	0.000885093167701863	0.000628654970760234
1975	33	0.000444180522565321	0.00063111599780099	0.000521978021978022
1975	34	0.00043702906350915	0.000655489453758789	0.000967557251908397
1975	35	0.000613513513513513	0.00113468013468013	0.000581874356333677
1975	36	0.000555099648300117	0.000959011060507482	0.000690950483779169
1975	37	0.000990900818926297	0.000895211267605634	0.00129508196721311
1975	38	0.00120779220779221	0.00134126984126984	0.0013731778425656
1975	39	0.000902868318122555	0.0010997084548105	0.00155260663507109
