"","year","sex","lower_ci","upper_ci","mean_ex","Country_of_Birth"
"157",2002,"Female",65.3419546141069,65.6422002191693,65.4880259477636,"England and Wales"
"158",2002,"Male",60.3554322981554,60.6377267180213,60.5007824676568,"England and Wales"
"159",2003,"Female",65.4404113813637,65.7113364798979,65.5830683643319,"England and Wales"
"160",2003,"Male",60.4337638146941,60.6827226040322,60.5572913781667,"England and Wales"
"161",2004,"Female",65.2145808653046,65.4957402290342,65.3503540710479,"England and Wales"
"162",2004,"Male",60.3076987505034,60.5552173485595,60.4323093142693,"England and Wales"
"163",2005,"Female",65.3091075089466,65.6156671039363,65.4759956218942,"England and Wales"
"164",2005,"Male",60.4063341179188,60.6871678761219,60.5165608230783,"England and Wales"
"165",2006,"Female",65.3987649939413,65.69702759675,65.5420573289064,"England and Wales"
"166",2006,"Male",60.5136727530305,60.7892055442442,60.6322788693384,"England and Wales"
"167",2007,"Female",65.3195766970267,65.6515988210636,65.4815107512886,"England and Wales"
"168",2007,"Male",60.3410414467221,60.6274836887326,60.5040091202062,"England and Wales"
"169",2008,"Female",65.3947533277275,65.7015379187508,65.5169324256537,"England and Wales"
"170",2008,"Male",60.3430321935177,60.6046001273418,60.445196428266,"England and Wales"
"171",2009,"Female",65.4851804755834,65.7487289626942,65.6151172211914,"England and Wales"
"172",2009,"Male",60.1668547016523,60.5508779004889,60.3756782959959,"England and Wales"
"173",2010,"Female",65.3620240256365,65.6095754877904,65.4800644411994,"England and Wales"
"174",2010,"Male",60.317587234094,60.6328828221396,60.5039458080424,"England and Wales"
"175",2011,"Female",65.309176457037,65.5767016212774,65.4514030099013,"England and Wales"
"176",2011,"Male",60.3062112211144,60.5809857952685,60.441365308723,"England and Wales"
"177",2012,"Female",65.3167891902975,65.590231839425,65.4516177214192,"England and Wales"
"178",2012,"Male",60.3184772629206,60.5797632399297,60.4607821896136,"England and Wales"
"179",2013,"Female",65.4208308095165,65.725058559821,65.5676238729317,"England and Wales"
"180",2013,"Male",60.4873123197662,60.7883147827722,60.6231615261888,"England and Wales"
"181",2014,"Female",65.2614085112849,65.5890271173908,65.4234416692769,"England and Wales"
"182",2014,"Male",60.3185164589392,60.5477943677454,60.4274704400651,"England and Wales"
"183",2015,"Female",65.3312973611447,65.5641292965991,65.4319953864651,"England and Wales"
"184",2015,"Male",60.518651195658,60.7567467406674,60.6322346248078,"England and Wales"
"185",2016,"Female",65.4208535348907,65.7045778797531,65.5703077848833,"England and Wales"
"186",2016,"Male",60.3257185991334,60.6523058487765,60.4880393635008,"England and Wales"
"187",2017,"Female",1.42874590220201,1.43284539637847,1.43053148735197,"England and Wales"
"188",2017,"Male",1.43058349346562,1.43427369680896,1.43252903141701,"England and Wales"
"189",1971,"Female",59.5968316059359,59.9503662662099,59.7633527858943,"Scotland and Northern Ireland"
